C:\Users\luiso\CLionProjects\questao1\cmake-build-debug\questao1_principal.exe
Quest├úo 1 - Itens: A e G:
1 - 3 produtores e 1 consumidor
2 - 6 produtores e 2 consumidores
Digite sua escolha (1 ou 2):1
 (P) TID: 1 | VALOR: R$ 42 | ITERACAO: 1
(P) TID: 2 | VALOR: R$ 42 | ITERACAO: 1
(P) TID: 3 | VALOR: R$ 42 | ITERACAO: 1
(P) TID: 1 | VALOR: R$ 335 | ITERACAO: 2
(P) TID: 3 | VALOR: R$ 335 | ITERACAO: 2
(C) TID: 4 | MEDIA: R$ 159.20 | ITERACAO: 1
(P) TID: 2 | VALOR: R$ 335 | ITERACAO: 2
(P) TID: 1 | VALOR: R$ 170 | ITERACAO: 3
(P) TID: 3 | VALOR: R$ 170 | ITERACAO: 3
(P) TID: 2 | VALOR: R$ 170 | ITERACAO: 3
(P) TID: 1 | VALOR: R$ 479 | ITERACAO: 4
(C) TID: 4 | MEDIA: R$ 264.80 | ITERACAO: 2
(P) TID: 3 | VALOR: R$ 479 | ITERACAO: 4
(P) TID: 2 | VALOR: R$ 479 | ITERACAO: 4
(P) TID: 3 | VALOR: R$ 963 | ITERACAO: 5
(P) TID: 1 | VALOR: R$ 963 | ITERACAO: 5
(P) TID: 2 | VALOR: R$ 963 | ITERACAO: 5
(C) TID: 4 | MEDIA: R$ 769.40 | ITERACAO: 3
(P) TID: 1 | VALOR: R$ 706 | ITERACAO: 6
(P) TID: 3 | VALOR: R$ 706 | ITERACAO: 6
(P) TID: 2 | VALOR: R$ 706 | ITERACAO: 6
(P) TID: 3 | VALOR: R$ 282 | ITERACAO: 7
(P) TID: 1 | VALOR: R$ 282 | ITERACAO: 7
(C) TID: 4 | MEDIA: R$ 536.40 | ITERACAO: 4
(P) TID: 2 | VALOR: R$ 282 | ITERACAO: 7
(P) TID: 3 | VALOR: R$ 962 | ITERACAO: 8
(P) TID: 2 | VALOR: R$ 962 | ITERACAO: 8
(P) TID: 1 | VALOR: R$ 962 | ITERACAO: 8
(P) TID: 3 | VALOR: R$ 996 | ITERACAO: 9
(C) TID: 4 | MEDIA: R$ 832.80 | ITERACAO: 5
(P) TID: 2 | VALOR: R$ 996 | ITERACAO: 9
(P) TID: 1 | VALOR: R$ 996 | ITERACAO: 9
(P) TID: 3 | VALOR: R$ 828 | ITERACAO: 10
(P) TID: 2 | VALOR: R$ 828 | ITERACAO: 10
(P) TID: 1 | VALOR: R$ 828 | ITERACAO: 10
(C) TID: 4 | MEDIA: R$ 895.20 | ITERACAO: 6
(P) TID: 3 | VALOR: R$ 392 | ITERACAO: 11
(P) TID: 2 | VALOR: R$ 392 | ITERACAO: 11
(P) TID: 1 | VALOR: R$ 392 | ITERACAO: 11
(P) TID: 3 | VALOR: R$ 903 | ITERACAO: 12
(P) TID: 2 | VALOR: R$ 903 | ITERACAO: 12
(C) TID: 4 | MEDIA: R$ 596.40 | ITERACAO: 7
(P) TID: 1 | VALOR: R$ 903 | ITERACAO: 12
(P) TID: 3 | VALOR: R$ 293 | ITERACAO: 13
(P) TID: 2 | VALOR: R$ 293 | ITERACAO: 13
(P) TID: 1 | VALOR: R$ 293 | ITERACAO: 13
(P) TID: 3 | VALOR: R$ 422 | ITERACAO: 14
(C) TID: 4 | MEDIA: R$ 440.80 | ITERACAO: 8
(P) TID: 2 | VALOR: R$ 422 | ITERACAO: 14
(P) TID: 1 | VALOR: R$ 422 | ITERACAO: 14
(P) TID: 3 | VALOR: R$ 719 | ITERACAO: 15
(P) TID: 2 | VALOR: R$ 719 | ITERACAO: 15
(P) TID: 1 | VALOR: R$ 719 | ITERACAO: 15
(C) TID: 4 | MEDIA: R$ 600.20 | ITERACAO: 9
(P) TID: 2 | VALOR: R$ 448 | ITERACAO: 16
(P) TID: 3 | VALOR: R$ 448 | ITERACAO: 16
(P) TID: 1 | VALOR: R$ 448 | ITERACAO: 16
(P) TID: 2 | VALOR: R$ 772 | ITERACAO: 17
(P) TID: 3 | VALOR: R$ 772 | ITERACAO: 17
(C) TID: 4 | MEDIA: R$ 577.60 | ITERACAO: 10
(P) TID: 1 | VALOR: R$ 772 | ITERACAO: 17
(P) TID: 2 | VALOR: R$ 870 | ITERACAO: 18
(P) TID: 3 | VALOR: R$ 870 | ITERACAO: 18
