C:\Users\luiso\CLionProjects\questao1\cmake-build-debug\questao1_principal.exe
Quest├úo 1 - Itens: A e G:
1 - 3 produtores e 1 consumidor
2 - 6 produtores e 2 consumidores
Digite sua escolha (1 ou 2):2
 (P) TID: 1 | VALOR: R$ 42 | ITERACAO: 1
(P) TID: 2 | VALOR: R$ 42 | ITERACAO: 1
(P) TID: 3 | VALOR: R$ 42 | ITERACAO: 1
(P) TID: 4 | VALOR: R$ 42 | ITERACAO: 1
(P) TID: 5 | VALOR: R$ 42 | ITERACAO: 1
(C) TID: 7 | MEDIA: R$ 42.00 | ITERACAO: 1
(C) TID: 7 | MEDIA: R$ 42.00 | ITERACAO: 2
(P) TID: 6 | VALOR: R$ 42 | ITERACAO: 1
(C) TID: 8 | MEDIA: R$ 42.00 | ITERACAO: 1
(P) TID: 1 | VALOR: R$ 335 | ITERACAO: 2
(P) TID: 2 | VALOR: R$ 335 | ITERACAO: 2
(C) TID: 8 | MEDIA: R$ 335.00 | ITERACAO: 2
(P) TID: 3 | VALOR: R$ 335 | ITERACAO: 2
(P) TID: 4 | VALOR: R$ 335 | ITERACAO: 2
(P) TID: 5 | VALOR: R$ 335 | ITERACAO: 2
(P) TID: 6 | VALOR: R$ 335 | ITERACAO: 2
(P) TID: 2 | VALOR: R$ 170 | ITERACAO: 3
(C) TID: 7 | MEDIA: R$ 335.00 | ITERACAO: 3
(C) TID: 7 | MEDIA: R$ 335.00 | ITERACAO: 4
(P) TID: 1 | VALOR: R$ 170 | ITERACAO: 3
(P) TID: 5 | VALOR: R$ 170 | ITERACAO: 3
(P) TID: 3 | VALOR: R$ 170 | ITERACAO: 3
(P) TID: 6 | VALOR: R$ 170 | ITERACAO: 3
(C) TID: 8 | MEDIA: R$ 170.00 | ITERACAO: 3
(C) TID: 8 | MEDIA: R$ 170.00 | ITERACAO: 4
(P) TID: 4 | VALOR: R$ 170 | ITERACAO: 3
(P) TID: 2 | VALOR: R$ 479 | ITERACAO: 4
(P) TID: 3 | VALOR: R$ 479 | ITERACAO: 4
(P) TID: 6 | VALOR: R$ 479 | ITERACAO: 4
(C) TID: 7 | MEDIA: R$ 324.50 | ITERACAO: 5
(C) TID: 7 | MEDIA: R$ 479.00 | ITERACAO: 6
(P) TID: 1 | VALOR: R$ 479 | ITERACAO: 4
(P) TID: 4 | VALOR: R$ 479 | ITERACAO: 4
(P) TID: 5 | VALOR: R$ 479 | ITERACAO: 4
(P) TID: 2 | VALOR: R$ 963 | ITERACAO: 5
(C) TID: 8 | MEDIA: R$ 479.00 | ITERACAO: 5
(C) TID: 8 | MEDIA: R$ 721.00 | ITERACAO: 6
(P) TID: 3 | VALOR: R$ 963 | ITERACAO: 5
(P) TID: 1 | VALOR: R$ 963 | ITERACAO: 5
(P) TID: 6 | VALOR: R$ 963 | ITERACAO: 5
(P) TID: 5 | VALOR: R$ 963 | ITERACAO: 5
(C) TID: 7 | MEDIA: R$ 963.00 | ITERACAO: 7
(C) TID: 7 | MEDIA: R$ 963.00 | ITERACAO: 8
(P) TID: 4 | VALOR: R$ 963 | ITERACAO: 5
(P) TID: 2 | VALOR: R$ 706 | ITERACAO: 6
(P) TID: 3 | VALOR: R$ 706 | ITERACAO: 6
(P) TID: 6 | VALOR: R$ 706 | ITERACAO: 6
(C) TID: 8 | MEDIA: R$ 834.50 | ITERACAO: 7
(C) TID: 8 | MEDIA: R$ 706.00 | ITERACAO: 8
(P) TID: 1 | VALOR: R$ 706 | ITERACAO: 6
(P) TID: 5 | VALOR: R$ 706 | ITERACAO: 6
(P) TID: 4 | VALOR: R$ 706 | ITERACAO: 6
(P) TID: 2 | VALOR: R$ 282 | ITERACAO: 7
(C) TID: 7 | MEDIA: R$ 706.00 | ITERACAO: 9
(C) TID: 7 | MEDIA: R$ 494.00 | ITERACAO: 10
(P) TID: 3 | VALOR: R$ 282 | ITERACAO: 7
(P) TID: 6 | VALOR: R$ 282 | ITERACAO: 7
(P) TID: 5 | VALOR: R$ 282 | ITERACAO: 7
(P) TID: 1 | VALOR: R$ 282 | ITERACAO: 7
(C) TID: 8 | MEDIA: R$ 282.00 | ITERACAO: 9
(C) TID: 8 | MEDIA: R$ 282.00 | ITERACAO: 10
(P) TID: 4 | VALOR: R$ 282 | ITERACAO: 7
